timestamp_utc	run_id	universe	model	reasoning	candidates	frozen	generated	repaired	rejected	kept	rows_after	queries_after	dataset_sha256	status	description
2026-08-28T04:54:56Z	me-001	middle_earth	gpt-5.6-sol	medium+high	300	300	301	101	1	300	7192	27024	c3660be7b597b4ad8b536d35a40e8d8f045a0a19a3cc50e7cb9e4a2d0c4e9138	keep	original source SHA bb71e3468f9f236d2a54a7f60398cb10e0d22e5f2d98e68dbbd4f7a524e0d388; effective SHA 77d6ed46d554f470996f4e7386fb7244c961279bcea6551f5676d74b5bcb4820; one frozen-reserve replacement accepted after one repair; zero global collisions; 837 tracked Batch calls estimated USD 9.165153; HF private commit bda13eda07245f28142e2df3a8f1bade2503236a; remote raw SHA and Viewer parquet 7192 rows verified
2026-08-28T05:16:58Z	hg-001	the_hunger_games	gpt-5.6-sol	medium+high	300	300	303	143	3	300	7492	28824	1abab9748233c29febff8c8a425a2c9881c99706214a0e2bd064c01cc8521d8b	keep	original source SHA 3dd843f8070881873e9de74a2ad513fb2f1a4bca272e6cf45c6199810e30e0e1; effective SHA b85390b1c9a80727d1ddee98618512e1eacc86dae10093b186b8d00a2585656e; three frozen-reserve replacements accepted after one repair each; one global query collision repaired; 986 tracked calls estimated USD 11.156844; HF private commit 43a72ab21b106398c347e9125bfc7340871821a9; remote raw SHA and Viewer parquet 7492 rows verified
2026-08-28T06:22:12Z	me-002	middle_earth	gpt-5.6-sol	medium+high	300	300	304	110	4	300	7792	30624	433f35d608d154789182aac49f641e2a9030d1a01f74718385ae7b4d1048ee79	keep	original source SHA 95a4841b85dc493aa2ad881637a27eceec8a5290b725f43e1ca512bc2b5e9971; effective SHA 9d14661747fa84113c0b01c26400a3506b61f20d894783f2d2a0e86e19ee7fad; four frozen-reserve replacements; two global-collision rows repaired in three attempts; 877 tracked calls estimated USD 9.434712; HF private commit 00ca9db762b141a1edf306ab68b4d432e1dc79f3; remote raw SHA and Viewer parquet 7792 rows verified
2026-08-28T06:31:50Z	me-003	middle_earth	gpt-5.6-sol	medium+high	300	300	301	98	1	300	8092	32424	cdaa6a765e1a39469f6c2a1c4f645c7632ca187313d8d4ce1e8b829575220ec6	keep	original source SHA adf9264308d02fce4ce741c47423f49c34322d1f887ee02699a9010b2ee0f94b; effective SHA 78ecbab1b034d78360b72e9303745b63dd56cce1aafdebab8df9907779727ef7; one frozen-reserve replacement; one global query collision repaired; 836 tracked calls estimated USD 9.256925; HF private commit 80ca9b408958b6de2241e5b9c0c019a617140406; remote raw SHA and Viewer parquet 8092 rows verified
2026-08-28T06:46:29Z	hg-002	the_hunger_games	gpt-5.6-sol	medium+high	300	300	301	136	1	300	8392	34224	3e619b8d746123cba7ad76dc0dd1c7c83d1a9753b476394fa91d11d0737c9ce1	keep	original source SHA 4d719c817dcbba3d8112adb46033d6078fcb1097edd1ecb191ec8d5b65bcbacc; effective SHA f81fc678ce3636705795ce44c6ad07bb9961093f0b4280f7b1e5489203ca016b; one frozen-reserve replacement; five global-collision rows repaired; all eight three-repair survivors manually reviewed; 968 tracked calls estimated USD 11.107006; HF private commit 577e1f14d53de4deb1d36097f50249b5067823cc; remote raw SHA and Viewer parquet 8392 rows verified
2026-08-28T07:09:58Z	me-004	middle_earth	gpt-5.6-sol	medium+high	300	300	302	109	2	300	8692	36024	9a8ebf7a4cf57df03ad96697f303329b029a08789a723812b332edbf0a85cd9c	keep	original source SHA b5c6f84725c1f675fdc50b89bd97da1108edf8732ada61cbea48c96e359e0bb4; effective SHA 4e780c5535b3fbe9819eec7fd42c8b67dff350d25dd63b9777b817bf91a51967; two frozen-reserve replacements; one global query collision repaired; 871 tracked calls estimated USD 9.441902; HF private commit 6bb65e6c687cb67cde8dcb06d986a1f8e209b303; remote raw SHA and Viewer parquet 8692 rows verified
2026-08-28T07:19:54Z	hg-005	the_hunger_games	gpt-5.6-sol	medium+high	100	100	102	49	2	100	8792	36624	eb4c038aad8eeb34bb2a64edfa67350986ac1e5f15412ef38fb79e7d3142a318	keep	original source SHA c4c3375f72629e20fba2a50a9749a2c943b527d374b03c9dad54d0a90781c960; effective SHA cf0946302d735c228f14a7b25a5e06f3933f1e91f93e59a7bb6e54dddaaae15b; two frozen-reserve replacements accepted after one repair each; one global query collision repaired; all three three-repair survivors manually reviewed; 345 tracked calls estimated USD 3.940145; HF private commit c63ab906f26bbd23de38e1b3f8a9ce3039df9bcb; remote raw SHA and Viewer parquet 8792 rows verified
2026-08-28T07:31:38Z	me-005	middle_earth	gpt-5.6-sol	medium+high	300	300	300	107	0	300	9092	38424	31b08be9cb67fd7d83b8587f5ee7f773bba3f1c186914bcfb45e4ca473d5117e	keep	original and effective source SHA 5d6211eb95395c1fef705bb87f7aae8d6e7d03647c1cf5e69ef7404ebdd2e83e; no reserve replacement; two global-collision rows repaired in three attempts; all eight rows with at least three repairs manually reviewed; 876 tracked calls estimated USD 9.810118; HF private commit b81e6ca8ebcbb656fa9627aead1467f61ae7ef55; remote raw SHA and Viewer parquet 9092 rows verified
2026-08-28T07:38:46Z	me-007	middle_earth	gpt-5.6-sol	medium+high	8	8	8	4	0	8	9100	38472	712c953c4fd9db250169f389b192fea311f4a0da7ad2b405554a3fd22f3c7867	keep	original and effective source SHA afab79effe705538fcff4dcce9bfeae7883048267867ae026501ab74ff564052; all eight rows manually reviewed; zero reserve replacements; zero global collisions; 26 tracked Batch calls estimated USD 0.270216; HF private commit f7903c8187cb7ba085bd76a4f4e566e3fd86ef67; remote raw SHA and Viewer parquet 9100 rows verified
2026-08-28T09:26:01Z	hg-004	the_hunger_games	gpt-5.6-sol	medium+high	300	300	305	131	5	300	9400	40272	b957e4bc130a8b5136caf96ea22340b27daab3630f7a486be689648e3b5ea14e	keep	original source SHA 07896b1e5f32fc1aedea9db14a7a4d81cd3547eee21db7b83299f2eddb34d0af; final effective SHA e6bef23be9c291093e698ef8b70c9748e0f606ede50ca0d269b3876bb1b12fb1; four final frozen-reserve substitutions from five consumed candidates; rejected Burdock after manual terminology gate and three repairs; eight global-audit events; all six three-repair survivors manually reviewed; 984 tracked calls estimated USD 11.099275; HF private commit 236ebeda435a342848e88a0503334b03b8671c53; remote raw SHA verified and later 9700-row Viewer parquet independently covered the batch
2026-08-28T09:26:02Z	hg-003	the_hunger_games	gpt-5.6-sol	medium+high	300	300	303	130	3	300	9700	42072	bc6fef694f9175f6a534a768b197234ff0eab575e9d6f8383d6e3fb891788c18	keep	original source SHA 7510b2fffbbea4627a3f39c21ca5645050fc04158fed6f264f2e2c608e4a511a; effective SHA ee15af778584a84463bee2dcb0ec25560a241b1a027fb4e9a62d6b0a642b066e; three frozen-reserve replacements; ten global-audit events; all eight three-repair survivors and all three replacements manually reviewed; 958 tracked calls estimated USD 11.114225; HF private commit fda54fb8a35ea6cf03365469e5f35e34ec542c44; remote raw SHA and Viewer parquet 9700 rows verified; Hunger Games milestone complete
2026-08-29T15:40:52Z	me-006	middle_earth	gpt-5.6-sol	medium+high	300	300	301	97	1	300	10000	43872	f6aa99df06b50a6101275e4abaff13f0fdd714724fa29ac5fe5a6229ffe84911	keep	original source SHA 321c1a1de791ecbb24f6d25c0f95d7c4b88a452efb7f33ca2463115faf93bc43; effective SHA 2dbb5e414b34656077da77675cfd7cd387fa6a14a5c5f1ad8d663bcb2a2ba334; one frozen-reserve replacement; three global query collisions repaired; sole three-repair survivor manually reviewed; 837 tracked paid calls estimated USD 9.346159; three Batch validation failures had zero usage; HF private commit f295ceffad7938fe473e64384d724674139007e1; remote raw and Viewer parquet verified
2026-08-29T15:40:53Z	final-10000	all	none	none	0	0	0	0	0	0	10000	43872	f6aa99df06b50a6101275e4abaff13f0fdd714724fa29ac5fe5a6229ffe84911	keep	final structural, shingle, Polars, DatasetRecordAdapter, project-test, scratch-test, private-HF raw, default/train Viewer parquet, and authenticated last-row acceptance complete; 691 passed and 1 skipped; scratch 58 passed
2026-08-30T01:59:26Z	image-cleanup-10000	all	none	none	0	0	0	0	0	0	10000	43872	323cdffbab56ba6d0fbee62e3d465ad859a191122bf38eebd52951afc020b27d	keep	removed has_image and img_path from all rows and deleted 77 tracked image files; every other value preserved; source Git 3181e599baab142f8c9cd638f35d10c3f0aefc72; private HF canonical commit c35835414d6a70b5cf579a3b5b8390423aaa9b73; raw bytes and Viewer 10000 x 28 verified; zero paid LLM calls
2026-08-30T01:59:27Z	universe-retrieval-v1	all	none	none	0	0	0	0	0	0	10000	43872	323cdffbab56ba6d0fbee62e3d465ad859a191122bf38eebd52951afc020b27d	keep	private benchmark commit 65fb0a7c0ba4b7d53017ce580f3bffd7d7ee3c31; corpus 10000; queries and qrels 30710 train plus 13162 test; 1360 and 503 disjoint groups; all raw files and five Viewer Parquets row-equal; all Viewer capabilities green; zero paid LLM calls
2026-08-30T22:12:54Z	universe-retrieval-v1.1-master	all	none	none	0	0	0	0	0	0	10000	43872	323cdffbab56ba6d0fbee62e3d465ad859a191122bf38eebd52951afc020b27d	keep	private benchmark commit 7752739f118344590ca561135b07e0eeccbbae18; benchmark/full 10000 rows and 43872 nested queries; master JSONL SHA b22bd1b332250612898d873aec074c2e3e111a2419ad5551aeb8f0664e905b13; five v1 JSONL and Viewer Parquet hashes unchanged; raw, six-partition Viewer, boundary, and capability checks green; zero paid LLM calls
2026-09-05T02:57:28Z	repository-legacy-jsonl	legacy	none	none	4992	4992	0	0	0	4992	4992	13824	0e54a7dfb7ff973a777e1303f6b95641551e0b77875c5813c751137a1439f176	keep	replaced the tracked 10000-row JSON array with the exact 4992-row legacy master-view JSONL slice from private benchmark commit 7752739f118344590ca561135b07e0eeccbbae18; retained structured queries, source-group IDs, and splits; removed versioned llms.txt; no image or license fields; zero paid LLM calls
2026-09-05T04:04:19Z	repository-hf-only	all	none	none	0	0	0	0	0	0	10000	43872	323cdffbab56ba6d0fbee62e3d465ad859a191122bf38eebd52951afc020b27d	keep	removed the repository corpus payload; justatom preset now streams private justatom/universe-retrieval-benchmark benchmark/full commit 7752739f118344590ca561135b07e0eeccbbae18; Git retains only loader integration, tests, provenance, and documentation; no images, image fields, license fields, or paid LLM calls
